ID	SEX	OCC	AGE	POB	HOURS	TERMS	COLLEGE	EARNMO	TOTEAR	COLYR	BOARD	DEP	PERIOD	BENESOC	INSUR	SAVINGS	IFDEBT	WHYDEBT	TEXTBK	OWNHM
54	1	1	26	10	6.00	13	-9	30.00	100.00	80.00	10.00	-9	2	-9	-9	2	2	-9	2	-9
55	1	1	27	10	6.00	3	-9	33.33	-9.00	-9.00	-9.00	-9	4	-9	-9	2	-9	-9	2	-9
56	1	1	26	10	6.00	14	-9	35.00	245.00	200.00	10.00	1	4	-9	-9	2	-9	-9	1	-9
57	1	1	24	5	6.00	2	-9	35.00	200.00	75.00	9.00	-9	2	-9	-9	2	-9	-9	2	-9
58	1	1	20	10	7.00	1	-9	27.00	300.00	275.00	-9.00	3	2	-9	-9	2	-9	-9	2	-9
59	1	1	22	10	6.00	2	-9	40.00	-9.00	-9.00	10.00	-9	4	-9	-9	2	-9	-9	4	-9
60	1	1	53	10	6.00	45	-9	30.00	120.00	300.00	6.00	1	4	2	2	2	-9	-9	2	-9
61	1	1	27	10	6.00	8	2	70.00	-9.00	300.00	20.00	-9	4	-9	-9	2	-9	-9	2	-9
62	1	1	23	10	6.00	6	-9	30.00	120.00	100.00	10.00	-9	4	-9	-9	2	-9	-9	2	-9
63	1	1	19	10	6.00	1	2	32.00	-9.00	-9.00	-9.00	-9	4	-9	-9	-9	-9	-9	1	-9
64	1	1	27	10	7.00	6	-9	35.00	275.00	120.00	10.00	10	4	-9	-9	2	-9	-9	1	2
65	1	1	19	10	8.00	2	-9	38.00	77.00	-9.00	-9.00	-9	4	-9	-9	-9	-9	-9	1	-9
66	1	1	28	10	6.00	10	-9	40.00	200.00	115.00	12.00	-9	4	-9	-9	-9	-9	-9	2	-9
67	1	1	24	10	6.00	4	-9	37.50	305.00	200.00	12.50	1	4	2	1	2	-9	-9	2	-9
68	1	1	24	10	6.00	3	-9	-9.00	196.00	91.00	8.00	-9	2	-9	-9	2	-9	-9	2	-9
69	1	1	18	10	7.00	3	-9	40.00	275.00	175.00	12.00	-9	4	-9	-9	2	-9	-9	2	-9
70	1	1	26	10	7.00	9	-9	30.00	200.00	150.00	-9.00	2	4	-9	-9	2	-9	-9	1	-9
71	1	1	30	10	6.00	17	2	65.00	550.00	450.00	-9.00	3	3	-9	-9	2	2	-9	2	2
72	1	1	29	10	6.00	9	-9	35.00	650.00	300.00	12.00	-9	4	-9	-9	2	-9	-9	2	2
73	1	1	34	10	6.00	10	2	40.00	150.00	-9.00	-8.00	3	4	-9	1	2	-9	-9	2	-9
74	1	1	36	1	6.00	10	-9	40.00	210.00	350.00	-9.00	-9	4	-9	-9	2	-9	-9	1	2
75	1	2	42	10	6.00	30	2	100.00	1200.00	900.00	-9.00	3	4	-9	3	2	-9	-9	1	2
76	1	2	47	10	10.00	50	2	144.44	1300.00	900.00	20.00	2	4	-9	2	-9	-9	-9	1	-9
77	1	1	20	10	6.00	3	-9	30.00	225.00	160.00	9.00	5	4	2	-9	-9	-9	-9	-9	-9
78	1	1	21	10	6.00	3	-9	32.50	250.00	250.00	12.00	8	4	2	-9	2	-9	-9	2	-9
79	1	1	25	10	6.00	10	2	45.00	180.00	180.00	8.50	6	4	-9	-9	2	-9	-9	1	2
80	1	1	27	10	6.00	21	-9	40.00	335.00	160.00	11.00	-9	4	-9	-9	-9	2	4	2	2
81	1	1	29	10	6.00	17	2	30.00	-9.00	350.00	8.00	-9	4	-9	-9	2	-9	-9	1	-9
82	1	1	19	10	6.00	-8	-9	33.00	300.00	100.00	12.00	3	4	-9	-9	2	-9	-9	2	-9
83	1	1	20	3	8.00	-8	-9	30.00	-9.00	-9.00	-8.00	4	4	-9	1	-9	2	-9	2	-9
84	1	1	25	10	9.00	2	-9	35.00	300.00	120.00	10.00	-9	4	-9	-9	-9	-9	-9	2	2
85	1	2	50	10	10.00	48	-9	92.00	1100.00	1100.00	-9.00	5	4	2	1	2	2	-9	2	2
